restaurant_id,name,rating,reviews,price,cuisine_location,timeslots
56314,Monteiths,4.6,(2020),Price: Expensive,• Scottish • The Royal Mile,"21:30*, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, 21:45*, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor"
187962,Piccolino,4.6,(309),Price: Expensive,• Italian • Old Town,"20:45, 21:00"
56560,WestRoom,4.7,(453),Price: Moderate,• Italian • Edinburgh,"21:30*, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, 21:45*, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top"
381372,Dulse - Leith,4.5,(71),Price: Expensive,• Seafood • Leith,"21:30, 21:45"
97728,Twenty Princes Street,4.2,(3035),Price: Expensive,• Scottish • New Town,"20:30, 20:45"
286293,Gordon Ramsay Street Burger - Edinburgh,3.8,(179),Price: Moderate,• Burgers • New Town,"22:45, 23:00"
265143,Tolbooth Tavern,4.6,(324),Price: Moderate,• Scottish • Old Town,"22:45*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, 23:00*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar"
167037,Mia - Morningside,4.6,(1150),Price: Moderate,• Italian • Edinburgh,20:30
112635,White Horse Oyster & Seafood Bar,4.5,(2340),Price: Expensive,• Seafood • The Royal Mile,"21:45*, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, 22:00*, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top"
394857,Celestia,4.8,(58),Price: Moderate,• Indian • Edinburgh,"22:00, 22:15"
167028,La Casa - Dalry Road,4.8,(1372),Price: Moderate,• Spanish • Edinburgh,"20:30, 20:45"
387627,Kuzina,4.8,(82),Price: Expensive,• Greek • Edinburgh,"20:30, 20:45"
443127,Mangal Taste of Anatolia,4.7,(9),Price: Moderate,• Turkish • Newington,"21:45, 22:00"
84568,Whighams Wine Cellars,4.6,(611),Price: Expensive,• Wine Bar • New Town,"23:00, 23:15, 23:30"
216579,Amber Rose Edinburgh,3.9,(6),Price: Moderate,• British • Edinburgh,"20:45, 21:00"
