restaurant_id,name,price,timeslots,location,cuisine,city
425745,Grosvenor Casino Gloucester Roadnew,Expensive,"23:00, 23:30, 00:00",south_west_london,Modern European,South Kensington
450867,SMOQUE Victorianew,Expensive,22:30,south_west_london,Turkish,Victoria
358905,Sticks'n'Sushi - Richmond,Expensive,22:30,south_west_london,Sushi,Richmond
237093,Hanrue Kensington,Expensive,"23:00, 23:30, 00:00",south_west_london,Korean,South Kensington
173973,Sette,Very Expensive,22:30,south_west_london,Italian,Knightsbridge
81457,Adulis Oval,Moderate,"23:00, 23:30",south_west_london,Eritrean,Kennington
367701,The Nine Elms Bar | Lounge,Moderate,"23:00, 23:30, 00:00",south_west_london,Lounge,Battersea
452817,Three Compadresnew,Moderate,22:30,south_west_london,Mexican,Tooting
459900,Rung Mahalnew,Moderate,"23:00, 23:30",south_west_london,Indian,Tooting
340695,Sticks'n'Sushi - Kingston,Expensive,22:30,south_west_london,Sushi,Kingston upon Thames
425757,Grosvenor Casino Park Towernew,Very Expensive,"23:00, 23:30, 00:00",south_west_london,International,Knightsbridge
425763,PizzaExpress East Sheen - Upper Richmond Road,Moderate,22:30,south_west_london,Pizzeria,East Sheen
452304,YA Layalinanew,Moderate,"23:00, 23:30",south_west_london,Lebanese,Knightsbridge
323556,Roots - Teddington,Expensive,22:30,south_west_london,Indian,Teddington
123120,The Ram Kingston,Moderate,23:00,south_west_london,British,Kingston upon Thames
94083,Thai Upon Thames,Moderate,22:30,south_west_london,Thai,Twickenham
445050,Aya Restaurant & Shisha Lounge,Moderate,23:00,south_west_london,Lebanese,Merton
180636,"Pizzeria Portofino - Richmond, UK",Moderate,23:00,south_west_london,Italian,Richmond
192489,Colombo Kitchen - Hopper and Kottu Bar,Expensive,22:30,south_west_london,Sri Lankan,Worcester Park
374124,Nepal Restaurant,Moderate,22:30,south_west_london,Nepalese,Richmond
458883,"Cafe Masala, Richmondnew",Moderate,22:30,south_west_london,Indian,Richmond
285378,Bacchanalia,Very Expensive,22:30,west_end_london,Greek,Mayfair
116664,Sexy Fish London,Moderate,"23:00, 23:30",west_end_london,Asian,Mayfair
130647,The Ivy Soho Brasserie,Moderate,22:30,west_end_london,British,Soho
95421,Balthazar London,Expensive,22:30,west_end_london,French,Covent Garden
98403,34 Mayfair,Very Expensive,22:30,west_end_london,Modern European,Mayfair
98928,"The Original Ivy, West End",Moderate,22:30,west_end_london,British,Covent Garden
116793,Ivy Market Grill,Moderate,23:00,west_end_london,British,Covent Garden
53827,Dean Street Townhouse,Expensive,23:00,west_end_london,British,Soho
111285,J Sheekey - The Restaurant,Expensive,22:30,west_end_london,Seafood,Covent Garden
85780,STK Steakhouse London - Strand,Expensive,"23:00, 23:30",west_end_london,Steakhouse,Covent Garden
162072,Old Compton Brasserie,Moderate,23:00,west_end_london,British,Soho
245565,Blacklock Covent Garden,Moderate,22:30,west_end_london,Steakhouse,Covent Garden
4275,Clos Maggiore,Expensive,22:30,west_end_london,French,Covent Garden
203580,Happy,Moderate,23:00,west_end_london,European,Leicester Square
271089,"The Ivy Asia, Mayfair",Expensive,23:00,west_end_london,Asian,Marble Arch
204210,Bill's Restaurant & Bar - Soho,Moderate,"23:00, 23:30",west_end_london,British,Soho
442353,Park Chinois - Berkeley Street,Very Expensive,23:00,west_end_london,Chinese,Mayfair
214479,Sticks'n'Sushi - Soho,Expensive,22:30,west_end_london,Sushi,Soho
75727,100 Wardour St,Very Expensive,23:00,west_end_london,European,Soho
442596,Heard. Soho,Moderate,22:30,west_end_london,Burgers,Soho
92079,Hawksmoor Air Street,Expensive,22:30,west_end_london,Steakhouse,Piccadilly
317700,Bocconcino Soho,Expensive,22:30,west_end_london,Italian,Soho
355695,Wahaca Covent Garden,Moderate,23:00,west_end_london,Mexican,Covent Garden
175518,Hard Rock Cafe London Piccadilly Circus,Moderate,22:30,west_end_london,American,Piccadilly
80221,Savoy Grill – Gordon Ramsay,Very Expensive,23:00,west_end_london,British,Covent Garden
385647,Isola by San Carlo - London,Moderate,22:30,west_end_london,Italian,Marylebone
52804,Hakkasan Mayfair,Very Expensive,23:00,west_end_london,Chinese,Mayfair
173310,Cicchetti - Covent Garden,Moderate,22:30,west_end_london,Italian,Covent Garden
69649,Palm Court Brasserie,Moderate,22:30,west_end_london,Contemporary French,Covent Garden
130209,Cinnamon Bazaar - Covent Garden,Moderate,22:30,west_end_london,Contemporary Indian,Covent Garden
426090,Harry's Covent Gardennew,Moderate,23:00,west_end_london,Italian,Covent Garden
100362,Big Easy Covent Garden,Moderate,22:30,west_end_london,American,Covent Garden
352743,Three Sheets - Soho,Moderate,22:30,west_end_london,Contemporary British,Soho
372063,Osteria by Bocconcino,Expensive,22:30,west_end_london,Italian,Covent Garden
120567,Inamo - Covent Garden,Moderate,22:30,west_end_london,Asian,Covent Garden
319998,Gaucho Covent Garden,Expensive,23:00,west_end_london,Steakhouse,Covent Garden
108798,Estiatorio Milos – London,Very Expensive,22:30,west_end_london,Seafood,Piccadilly
40360,Yauatcha Soho,Expensive,22:30,west_end_london,Chinese,Soho
323403,Paro Indian - Covent Garden & Strand,Moderate,22:30,west_end_london,Fusion / Eclectic,Covent Garden
110892,Jamavar,Very Expensive,22:30,west_end_london,Indian,Mayfair
259107,Inca London,Very Expensive,22:30,west_end_london,South American,Soho
136608,Tamarind Kitchen Soho,Expensive,22:30,west_end_london,Indian,Soho
154992,Kintan Oxford Circus,Moderate,23:00,west_end_london,Japanese (Yakiniku),Oxford Circus
394761,27 Old Compton Street,Moderate,"23:00, 23:30, 00:00",west_end_london,Italian,Soho
86848,Brasserie Zedel,Moderate,22:30,west_end_london,French,Piccadilly
268458,Louie,Very Expensive,22:30,west_end_london,French,Covent Garden
14449,Gaucho Piccadilly,Expensive,23:00,west_end_london,Steak,Piccadilly
68977,The Delaunay,Expensive,22:30,west_end_london,European,Covent Garden
144192,P.F. Chang's,Expensive,23:00,west_end_london,Chinese,Leicester Square
88120,Benares,Very Expensive,22:30,west_end_london,Indian,Mayfair
69916,Pierre Victoire,Moderate,23:00,west_end_london,French,Soho
251799,Macellaio RC Soho,Expensive,23:00,west_end_london,Steak,Soho
355050,Amici Soho,Expensive,22:30,west_end_london,Italian,Soho
288147,Kapara,Expensive,22:30,west_end_london,Middle Eastern,Soho
320010,Pastaio,Expensive,22:30,west_end_london,Italian,Soho
330438,LAVO,Expensive,22:30,west_end_london,Italian,Marylebone
78466,Le Garrick - Covent Garden,Moderate,22:30,west_end_london,French,Covent Garden
122115,Hard Rock Cafe - London,Moderate,22:30,west_end_london,American,Mayfair
7087,Kai Mayfair,Very Expensive,22:30,west_end_london,Chinese,Mayfair
104076,Heddon Street Kitchen,Expensive,22:30,west_end_london,European,Piccadilly
317433,Riviera,Expensive,22:30,west_end_london,French,Mayfair
171063,Cecconi's Pizza Bar,Moderate,"23:00, 23:30",west_end_london,Pizza Bar,Soho
266016,Manzi's,Expensive,22:30,west_end_london,Seafood,Soho
82204,Maxwell's,Moderate,22:30,west_end_london,American,Covent Garden
257562,Luciano by Gino D’Acampo London,Moderate,23:00,west_end_london,Contemporary Italian,Covent Garden
259914,American Bar at The Savoy,Expensive,23:00,west_end_london,Bar / Lounge / Bottle Service,Aldwych
98529,Flesh & Buns Covent Garden,Expensive,22:30,west_end_london,Japanese,Covent Garden
158508,Meraki Restaurant,Very Expensive,22:30,west_end_london,Greek,Fitzrovia
143286,Rossopomodoro - Covent Garden,Moderate,22:30,west_end_london,Pizzeria,Covent Garden
176862,Kerridge’s Bar & Grill,Expensive,22:30,west_end_london,British,Westminster
69847,Kettner’s,Expensive,22:30,west_end_london,French,Leicester Square
255444,River Restaurant Gordon Ramsay,Expensive,23:00,west_end_london,Seafood,Covent Garden
116790,Ivy Cafe - Marylebone,Moderate,22:30,west_end_london,British,Marylebone
87874,Prix Fixe Brasserie,Moderate,23:00,west_end_london,French,Soho
287859,Piccolino - Mayfair Heddon Street,Expensive,22:30,west_end_london,Italian,Mayfair
69655,Boulevard Brasserie,Moderate,22:30,west_end_london,Contemporary French,Covent Garden
86161,May Fair Kitchen,Expensive,22:30,west_end_london,Japanese,Mayfair
41160,Sergios,Expensive,23:00,west_end_london,Italian,Fitzrovia
214488,Sticks'n'Sushi - Covent Garden,Expensive,22:30,west_end_london,Sushi,Covent Garden
249669,Mimi Mei Fair,Very Expensive,22:30,west_end_london,Chinese,Mayfair
85774,Heliot Steak House,Expensive,22:30,west_end_london,Steakhouse,Leicester Square
169170,Co&Ko,Expensive,22:30,west_end_london,Korean,Soho
96552,Chotto Matte Soho,Very Expensive,23:00,west_end_london,Peruvian,Soho
200292,Chourangi,Expensive,22:30,west_end_london,Indian,Marylebone
80206,Gordon Ramsay Bar & Grill — Mayfair,Expensive,"23:00, 23:30",west_end_london,Steak,Mayfair
150063,Cafe Pacifico,Moderate,23:00,west_end_london,Mexican,Covent Garden
421629,PizzaExpress London Bow Street,Moderate,23:00,west_end_london,Pizzeria,Covent Garden
141702,Bombay Bustle,Expensive,22:30,west_end_london,Indian,Mayfair
425649,PizzaExpress London - Haymarket,Moderate,23:00,west_end_london,Pizzeria,Leicester Square
418149,Aki Londonnew,Very Expensive,22:30,west_end_london,Japanese,Marylebone
190449,Condesa,Moderate,22:30,west_end_london,Tapas / Small Plates,Covent Garden
81121,Da Paolo Restaurant,Expensive,22:30,west_end_london,Italian,Fitzrovia
369771,Grilandia - Mayfair,Moderate,23:00,west_end_london,Lebanese,Mayfair
75622,Steak and Company Leicester Square,Expensive,22:30,west_end_london,Steakhouse,Charing Cross
217821,The 40 Elephants,Moderate,"23:00, 23:30, 00:00",west_end_london,Cocktail Bar,Westminster
74689,Refuel Restaurant at The Soho Hotel,Expensive,22:30,west_end_london,Contemporary British,Soho
82675,Mele E Pere,Moderate,22:30,west_end_london,Italian,Soho
281598,GURA GURA - Covent Garden,Moderate,23:00,west_end_london,Asian,Leicester Square
425574,PizzaExpress London - 450 Strand,Moderate,22:30,west_end_london,Pizzeria,Covent Garden
425790,PizzaExpress London - Victoria Street,Moderate,23:00,west_end_london,Pizzeria,Westminster
184389,Steak and Company Piccadilly Circus,Expensive,22:30,west_end_london,Steakhouse,Piccadilly
175248,Bloomsbury Street Kitchen,Expensive,23:00,west_end_london,Mediterranean,Bloomsbury
165021,San Carlo Regent Street,Moderate,22:30,west_end_london,Italian,Charing Cross
172440,Lucky Cat - Mayfair,Very Expensive,23:00,west_end_london,Contemporary Asian,Mayfair
